sales_month,naics_code,kind_of_business,reason_for_null,sales
"1999-06-01","4421","Furniture stores",,3818
"1999-06-01","4422","Home furnishings stores",,3035
"1999-06-01","44221","Floor covering stores",,1599
"1999-06-01","442299","All other home furnishings stores","Not Available",
"1999-06-01","443","Electronics and appliance stores",,6805
"1999-06-01","443141","Household appliance stores",,1105
"1999-06-01","443142","Electronics stores",,5700
"1999-06-01","444","Building mat. and garden equip. and supplies dealers",,20511
"1999-06-01","4441","Building mat. and supplies dealers",,17403
"1999-06-01","44412","Paint and wallpaper stores","Not Available",
"1999-06-01","44413","Hardware stores",,1444
"1999-06-01","445","Food and beverage stores",,35791
"1999-06-01","4451","Grocery stores",,32568
"1999-06-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1999-06-01","4453","Beer, wine, and liquor stores",,2145
"1999-06-01","446","Health and personal care stores",,11766
"1999-06-01","44611","Pharmacies and drug stores",,9972
"1999-06-01","447","Gasoline stations",,17923
"1999-06-01","448","Clothing and clothing access. stores",,12280
"1999-06-01","4481","Clothing stores",,8624
"1999-06-01","44811","Men's clothing stores",,791
"1999-06-01","44812","Women's clothing stores",,2405
"1999-06-01","44814","Family clothing stores",,4182
"1999-06-01","44819","Other clothing stores","Not Available",
"1999-06-01","4482","Shoe stores",,1908
"1999-06-01","44831","Jewelry stores",,1623
"1999-06-01","451","Sporting goods, hobby, musical instrument, and book stores",,5088
"1999-06-01","45111","Sporting goods stores",,2215
"1999-06-01","45112","Hobby, toy, and game stores",,1101
"1999-06-01","451211","Book stores",,1031
"1999-06-01","452","General merchandise stores",,30329
"1999-06-01","4521","Department stores",,17955
"1999-06-01","452111","Department stores(excl. discount department stores)",,7178
"1999-06-01","452112","Discount dept. stores",,10777
"1999-06-01","4529","Other general merchandise stores",,12374
"1999-06-01","45291","Warehouse clubs and superstores",,9839
"1999-06-01","45299","All other gen. merchandise stores",,2535
"1999-06-01","453","Miscellaneous store retailers",,8544
"1999-06-01","4532","Office supplies, stationery, and gift stores",,2938
"1999-06-01","45321","Office supplies and stationery stores",,1611
"1999-06-01","45322","Gift, novelty, and souvenir stores",,1327
"1999-06-01","45330","Used merchandise stores",,759
"1999-06-01","454","Nonstore retailers",,11574
"1999-06-01","4541","Electronic shopping and mail-order houses",,7222
"1999-06-01","45431","Fuel dealers",,1222
"1999-06-01","722","Food services and drinking places",,24088
"1999-06-01","7224","Drinking places",,1196
"1999-06-01","7225","Restaurants and other eating places",,20725
"1999-06-01","722511","Full service restaurants",,10503
"1999-06-01","722513, 722514, 722515","Limited service eating places",,10222
"1999-06-01",,"Retail sales, total",,236830
"1999-06-01",,"Retail and food services sales, total",,260918
"1999-06-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,173629
"1999-06-01",,"GAFO(1)",,64293
"1999-06-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,167464
"1999-06-01",,"Retail sales and food services excl gasoline stations",,242995
"1999-06-01",,"Retail sales and food services excl motor vehicle and parts",,191552
"1999-07-01","441","Motor vehicle and parts dealers",,68335
"1999-07-01","4411","Automobile dealers",,58918
"1999-07-01","4411, 4412","Automobile and other motor vehicle dealers",,62813
"1999-07-01","44111","New car dealers",,54023
"1999-07-01","44112","Used car dealers",,4895
"1999-07-01","4413","Automotive parts, acc., and tire stores",,5522
"1999-07-01","442","Furniture and home furnishings stores",,6961
"1999-07-01","442, 443","Furniture, home furn, electronics, and appliance stores",,14014
"1999-07-01","4421","Furniture stores",,3893
"1999-07-01","4422","Home furnishings stores",,3068
"1999-07-01","44221","Floor covering stores",,1594
"1999-07-01","442299","All other home furnishings stores","Not Available",
"1999-07-01","443","Electronics and appliance stores",,7053
"1999-07-01","443141","Household appliance stores",,1200
"1999-07-01","443142","Electronics stores",,5853
"1999-07-01","444","Building mat. and garden equip. and supplies dealers",,19363
"1999-07-01","4441","Building mat. and supplies dealers",,16977
"1999-07-01","44412","Paint and wallpaper stores","Not Available",
"1999-07-01","44413","Hardware stores",,1386
"1999-07-01","445","Food and beverage stores",,37981
"1999-07-01","4451","Grocery stores",,34568
"1999-07-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1999-07-01","4453","Beer, wine, and liquor stores",,2339
"1999-07-01","446","Health and personal care stores",,11679
"1999-07-01","44611","Pharmacies and drug stores",,9874
"1999-07-01","447","Gasoline stations",,19120
"1999-07-01","448","Clothing and clothing access. stores",,12461
"1999-07-01","4481","Clothing stores",,8817
"1999-07-01","44811","Men's clothing stores",,723
"1999-07-01","44812","Women's clothing stores",,2303
"1999-07-01","44814","Family clothing stores",,4476
"1999-07-01","44819","Other clothing stores","Not Available",
"1999-07-01","4482","Shoe stores",,1934
"1999-07-01","44831","Jewelry stores",,1585
"1999-07-01","451","Sporting goods, hobby, musical instrument, and book stores",,4884
"1999-07-01","45111","Sporting goods stores",,2062
"1999-07-01","45112","Hobby, toy, and game stores",,1083
"1999-07-01","451211","Book stores",,1023
"1999-07-01","452","General merchandise stores",,29811
"1999-07-01","4521","Department stores",,17549
"1999-07-01","452111","Department stores(excl. discount department stores)",,7012
"1999-07-01","452112","Discount dept. stores",,10537
"1999-07-01","4529","Other general merchandise stores",,12262
"1999-07-01","45291","Warehouse clubs and superstores",,9768
"1999-07-01","45299","All other gen. merchandise stores",,2494
"1999-07-01","453","Miscellaneous store retailers",,8240
"1999-07-01","4532","Office supplies, stationery, and gift stores",,2850
"1999-07-01","45321","Office supplies and stationery stores",,1517
"1999-07-01","45322","Gift, novelty, and souvenir stores",,1333
"1999-07-01","45330","Used merchandise stores",,749
"1999-07-01","454","Nonstore retailers",,11104
"1999-07-01","4541","Electronic shopping and mail-order houses",,6964
"1999-07-01","45431","Fuel dealers",,1186
"1999-07-01","722","Food services and drinking places",,25059
"1999-07-01","7224","Drinking places",,1256
"1999-07-01","7225","Restaurants and other eating places",,21695
"1999-07-01","722511","Full service restaurants",,11031
"1999-07-01","722513, 722514, 722515","Limited service eating places",,10664
"1999-07-01",,"Retail sales, total",,236992
"1999-07-01",,"GAFO(1)",,64020
"1999-07-01",,"Retail and food services sales, total",,262051
"1999-07-01",,"Retail sales and food services excl gasoline stations",,242931
"1999-07-01",,"Retail sales and food services excl motor vehicle and parts",,193716
"1999-07-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,168657
"1999-07-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,174596
"1999-08-01","441","Motor vehicle and parts dealers",,69464
"1999-08-01","4411","Automobile dealers",,60447
"1999-08-01","4411, 4412","Automobile and other motor vehicle dealers",,63954
"1999-08-01","44111","New car dealers",,55555
"1999-08-01","44112","Used car dealers",,4892
"1999-08-01","4413","Automotive parts, acc., and tire stores",,5510
"1999-08-01","442","Furniture and home furnishings stores",,7240
"1999-08-01","442, 443","Furniture, home furn, electronics, and appliance stores",,14375
"1999-08-01","4421","Furniture stores",,3962
"1999-08-01","4422","Home furnishings stores",,3278
"1999-08-01","44221","Floor covering stores",,1657
"1999-08-01","442299","All other home furnishings stores","Not Available",
"1999-08-01","443","Electronics and appliance stores",,7135
"1999-08-01","443141","Household appliance stores",,1019
"1999-08-01","443142","Electronics stores",,6116
"1999-08-01","444","Building mat. and garden equip. and supplies dealers",,19000
"1999-08-01","4441","Building mat. and supplies dealers",,16878
"1999-08-01","44412","Paint and wallpaper stores","Not Available",
"1999-08-01","44413","Hardware stores",,1297
"1999-08-01","445","Food and beverage stores",,36105
"1999-08-01","4451","Grocery stores",,32944
"1999-08-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1999-08-01","4453","Beer, wine, and liquor stores",,2140
"1999-08-01","446","Health and personal care stores",,11647
"1999-08-01","44611","Pharmacies and drug stores",,9834
"1999-08-01","447","Gasoline stations",,19278
"1999-08-01","448","Clothing and clothing access. stores",,13734
"1999-08-01","4481","Clothing stores",,9712
"1999-08-01","44811","Men's clothing stores",,789
"1999-08-01","44812","Women's clothing stores",,2407
"1999-08-01","44814","Family clothing stores",,4926
"1999-08-01","44819","Other clothing stores","Not Available",
"1999-08-01","4482","Shoe stores",,2283
"1999-08-01","44831","Jewelry stores",,1606
"1999-08-01","451","Sporting goods, hobby, musical instrument, and book stores",,5396
"1999-08-01","45111","Sporting goods stores",,2143
"1999-08-01","45112","Hobby, toy, and game stores",,1101
"1999-08-01","451211","Book stores",,1386
"1999-08-01","452","General merchandise stores",,30955
"1999-08-01","4521","Department stores",,18510
"1999-08-01","452111","Department stores(excl. discount department stores)",,7697
"1999-08-01","452112","Discount dept. stores",,10813
"1999-08-01","4529","Other general merchandise stores",,12445
"1999-08-01","45291","Warehouse clubs and superstores",,9944
"1999-08-01","45299","All other gen. merchandise stores",,2501
"1999-08-01","453","Miscellaneous store retailers",,8606
"1999-08-01","4532","Office supplies, stationery, and gift stores",,3308
"1999-08-01","45321","Office supplies and stationery stores",,1966
"1999-08-01","45322","Gift, novelty, and souvenir stores",,1342
"1999-08-01","45330","Used merchandise stores",,784
"1999-08-01","454","Nonstore retailers",,11918
"1999-08-01","4541","Electronic shopping and mail-order houses",,7514
"1999-08-01","45431","Fuel dealers",,1275
"1999-08-01","722","Food services and drinking places",,24611
"1999-08-01","7224","Drinking places",,1205
"1999-08-01","7225","Restaurants and other eating places",,21274
"1999-08-01","722511","Full service restaurants",,10888
"1999-08-01","722513, 722514, 722515","Limited service eating places",,10386
"1999-08-01",,"Retail sales and food services excl gasoline stations",,245811
"1999-08-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,176347
"1999-08-01",,"Retail and food services sales, total",,265089
"1999-08-01",,"Retail sales, total",,240478
"1999-08-01",,"Retail sales and food services excl motor vehicle and parts",,195625
"1999-08-01",,"GAFO(1)",,67768
"1999-08-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,171014
"1999-09-01","441","Motor vehicle and parts dealers",,64572
"1999-09-01","4411","Automobile dealers",,56079
"1999-09-01","4411, 4412","Automobile and other motor vehicle dealers",,59134
"1999-09-01","44111","New car dealers",,51570
"1999-09-01","44112","Used car dealers",,4509
"1999-09-01","4413","Automotive parts, acc., and tire stores",,5438
"1999-09-01","442","Furniture and home furnishings stores",,7139
"1999-09-01","442, 443","Furniture, home furn, electronics, and appliance stores",,14008
"1999-09-01","4421","Furniture stores",,3976
"1999-09-01","4422","Home furnishings stores",,3163
"1999-09-01","44221","Floor covering stores",,1649
"1999-09-01","442299","All other home furnishings stores","Not Available",
"1999-09-01","443","Electronics and appliance stores",,6869
"1999-09-01","443141","Household appliance stores",,989
"1999-09-01","443142","Electronics stores",,5880
"1999-09-01","444","Building mat. and garden equip. and supplies dealers",,18459
"1999-09-01","4441","Building mat. and supplies dealers",,16299
"1999-09-01","44412","Paint and wallpaper stores","Not Available",
"1999-09-01","44413","Hardware stores",,1283
"1999-09-01","445","Food and beverage stores",,35734
"1999-09-01","4451","Grocery stores",,32624
"1999-09-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1999-09-01","4453","Beer, wine, and liquor stores",,2126
"1999-09-01","446","Health and personal care stores",,11429
"1999-09-01","44611","Pharmacies and drug stores",,9721
"1999-09-01","447","Gasoline stations",,18559
"1999-09-01","448","Clothing and clothing access. stores",,12357
"1999-09-01","4481","Clothing stores",,8917
"1999-09-01","44811","Men's clothing stores",,714
"1999-09-01","44812","Women's clothing stores",,2353
"1999-09-01","44814","Family clothing stores",,4389
"1999-09-01","44819","Other clothing stores","Not Available",
"1999-09-01","4482","Shoe stores",,1788
"1999-09-01","44831","Jewelry stores",,1520
"1999-09-01","451","Sporting goods, hobby, musical instrument, and book stores",,5062
"1999-09-01","45111","Sporting goods stores",,1847
"1999-09-01","45112","Hobby, toy, and game stores",,1111
"1999-09-01","451211","Book stores",,1240
"1999-09-01","452","General merchandise stores",,29382
"1999-09-01","4521","Department stores",,17383
"1999-09-01","452111","Department stores(excl. discount department stores)",,7300
"1999-09-01","452112","Discount dept. stores",,10083
"1999-09-01","4529","Other general merchandise stores",,11999
"1999-09-01","45291","Warehouse clubs and superstores",,9585
"1999-09-01","45299","All other gen. merchandise stores",,2414
"1999-09-01","453","Miscellaneous store retailers",,8420
"1999-09-01","4532","Office supplies, stationery, and gift stores",,3228
"1999-09-01","45321","Office supplies and stationery stores",,1965
"1999-09-01","45322","Gift, novelty, and souvenir stores",,1263
"1999-09-01","45330","Used merchandise stores",,722
"1999-09-01","454","Nonstore retailers",,12683
"1999-09-01","4541","Electronic shopping and mail-order houses",,8033
"1999-09-01","45431","Fuel dealers",,1420
"1999-09-01","722","Food services and drinking places",,23240
"1999-09-01","7224","Drinking places",,1177
"1999-09-01","7225","Restaurants and other eating places",,19977
"1999-09-01","722511","Full service restaurants",,10250
"1999-09-01","722513, 722514, 722515","Limited service eating places",,9727
"1999-09-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,170774
"1999-09-01",,"Retail sales, total",,230665
"1999-09-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,166093
"1999-09-01",,"Retail sales and food services excl motor vehicle and parts",,189333
"1999-09-01",,"Retail and food services sales, total",,253905
"1999-09-01",,"GAFO(1)",,64037
"1999-09-01",,"Retail sales and food services excl gasoline stations",,235346
"1999-10-01","441","Motor vehicle and parts dealers",,62383
"1999-10-01","4411","Automobile dealers",,53895
"1999-10-01","4411, 4412","Automobile and other motor vehicle dealers",,56986
"1999-10-01","44111","New car dealers",,49379
"1999-10-01","44112","Used car dealers",,4516
"1999-10-01","4413","Automotive parts, acc., and tire stores",,5397
"1999-10-01","442","Furniture and home furnishings stores",,7339
"1999-10-01","442, 443","Furniture, home furn, electronics, and appliance stores",,14117
"1999-10-01","4421","Furniture stores",,4036
"1999-10-01","4422","Home furnishings stores",,3303
"1999-10-01","44221","Floor covering stores",,1674
"1999-10-01","442299","All other home furnishings stores","Not Available",
"1999-10-01","443","Electronics and appliance stores",,6778
"1999-10-01","443141","Household appliance stores",,997
"1999-10-01","443142","Electronics stores",,5781
"1999-10-01","444","Building mat. and garden equip. and supplies dealers",,18709
"1999-10-01","4441","Building mat. and supplies dealers",,16470
"1999-10-01","44412","Paint and wallpaper stores","Not Available",
"1999-10-01","44413","Hardware stores",,1293
"1999-10-01","445","Food and beverage stores",,36164
"1999-10-01","4451","Grocery stores",,32935
"1999-10-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1999-10-01","4453","Beer, wine, and liquor stores",,2219
"1999-10-01","446","Health and personal care stores",,11839
"1999-10-01","44611","Pharmacies and drug stores",,10087
"1999-10-01","447","Gasoline stations",,18967
"1999-10-01","448","Clothing and clothing access. stores",,12948
"1999-10-01","4481","Clothing stores",,9427
"1999-10-01","44811","Men's clothing stores",,802
"1999-10-01","44812","Women's clothing stores",,2440
"1999-10-01","44814","Family clothing stores",,4724
"1999-10-01","44819","Other clothing stores","Not Available",
"1999-10-01","4482","Shoe stores",,1741
"1999-10-01","44831","Jewelry stores",,1641
"1999-10-01","451","Sporting goods, hobby, musical instrument, and book stores",,4852
"1999-10-01","45111","Sporting goods stores",,1711
"1999-10-01","45112","Hobby, toy, and game stores",,1277
"1999-10-01","451211","Book stores",,1019
"1999-10-01","452","General merchandise stores",,31357
"1999-10-01","4521","Department stores",,18513
"1999-10-01","452111","Department stores(excl. discount department stores)",,7749
"1999-10-01","452112","Discount dept. stores",,10764
"1999-10-01","4529","Other general merchandise stores",,12844
"1999-10-01","45291","Warehouse clubs and superstores",,10214
"1999-10-01","45299","All other gen. merchandise stores",,2630
"1999-10-01","453","Miscellaneous store retailers",,8426
"1999-10-01","4532","Office supplies, stationery, and gift stores",,3259
"1999-10-01","45321","Office supplies and stationery stores",,1772
"1999-10-01","45322","Gift, novelty, and souvenir stores",,1487
"1999-10-01","45330","Used merchandise stores",,848
"1999-10-01","454","Nonstore retailers",,13431
"1999-10-01","4541","Electronic shopping and mail-order houses",,8552
"1999-10-01","45431","Fuel dealers",,1682
"1999-10-01","722","Food services and drinking places",,24847
"1999-10-01","7224","Drinking places",,1263
"1999-10-01","7225","Restaurants and other eating places",,21373
"1999-10-01","722511","Full service restaurants",,11004
"1999-10-01","722513, 722514, 722515","Limited service eating places",,10369
"1999-10-01",,"Retail sales, total",,233193
"1999-10-01",,"Retail and food services sales, total",,258040
"1999-10-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,170810
"1999-10-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,176690
"1999-10-01",,"GAFO(1)",,66533
"1999-10-01",,"Retail sales and food services excl motor vehicle and parts",,195657
"1999-10-01",,"Retail sales and food services excl gasoline stations",,239073
"1999-11-01","441","Motor vehicle and parts dealers",,59856
"1999-11-01","4411","Automobile dealers",,51987
"1999-11-01","4411, 4412","Automobile and other motor vehicle dealers",,54569
"1999-11-01","44111","New car dealers",,47695
"1999-11-01","44112","Used car dealers",,4292
"1999-11-01","4413","Automotive parts, acc., and tire stores",,5287
"1999-11-01","442","Furniture and home furnishings stores",,8006
"1999-11-01","442, 443","Furniture, home furn, electronics, and appliance stores",,15878
"1999-11-01","4421","Furniture stores",,4303
"1999-11-01","4422","Home furnishings stores",,3703
"1999-11-01","44221","Floor covering stores",,1642
"1999-11-01","442299","All other home furnishings stores","Not Available",
"1999-11-01","443","Electronics and appliance stores",,7872
"1999-11-01","443141","Household appliance stores",,1051
"1999-11-01","443142","Electronics stores",,6821
"1999-11-01","444","Building mat. and garden equip. and supplies dealers",,18190
"1999-11-01","4441","Building mat. and supplies dealers",,16032
"1999-11-01","44412","Paint and wallpaper stores","Not Available",
"1999-11-01","44413","Hardware stores",,1291
"1999-11-01","445","Food and beverage stores",,35833
"1999-11-01","4451","Grocery stores",,32510
"1999-11-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1999-11-01","4453","Beer, wine, and liquor stores",,2273
"1999-11-01","446","Health and personal care stores",,12013
"1999-11-01","44611","Pharmacies and drug stores",,10155
"1999-11-01","447","Gasoline stations",,18232
"1999-11-01","448","Clothing and clothing access. stores",,14643
"1999-11-01","4481","Clothing stores",,10528
"1999-11-01","44811","Men's clothing stores",,896
"1999-11-01","44812","Women's clothing stores",,2564
"1999-11-01","44814","Family clothing stores",,5528
"1999-11-01","44819","Other clothing stores","Not Available",
"1999-11-01","4482","Shoe stores",,1782
"1999-11-01","44831","Jewelry stores",,2165
"1999-11-01","451","Sporting goods, hobby, musical instrument, and book stores",,5896
"1999-11-01","45111","Sporting goods stores",,1832
"1999-11-01","45112","Hobby, toy, and game stores",,2096
"1999-11-01","451211","Book stores",,1088
"1999-11-01","452","General merchandise stores",,36231
"1999-11-01","4521","Department stores",,22213
"1999-11-01","452111","Department stores(excl. discount department stores)",,9560
"1999-11-01","452112","Discount dept. stores",,12653
"1999-11-01","4529","Other general merchandise stores",,14018
"1999-11-01","45291","Warehouse clubs and superstores",,11120
"1999-11-01","45299","All other gen. merchandise stores",,2898
"1999-11-01","453","Miscellaneous store retailers",,9190
"1999-11-01","4532","Office supplies, stationery, and gift stores",,3694
"1999-11-01","45321","Office supplies and stationery stores",,1796
"1999-11-01","45322","Gift, novelty, and souvenir stores",,1898
"1999-11-01","45330","Used merchandise stores",,804
"1999-11-01","454","Nonstore retailers",,14895
"1999-11-01","4541","Electronic shopping and mail-order houses",,9604
"1999-11-01","45431","Fuel dealers",,1821
"1999-11-01","722","Food services and drinking places",,23249
"1999-11-01","7224","Drinking places",,1185
"1999-11-01","7225","Restaurants and other eating places",,19960
"1999-11-01","722511","Full service restaurants",,10182
"1999-11-01","722513, 722514, 722515","Limited service eating places",,9778
"1999-11-01",,"GAFO(1)",,76342
"1999-11-01",,"Retail and food services sales, total",,264106
"1999-11-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,181001
"1999-11-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,186018
"1999-11-01",,"Retail sales, total",,240857
"1999-11-01",,"Retail sales and food services excl motor vehicle and parts",,204250
"1999-11-01",,"Retail sales and food services excl gasoline stations",,245874
"1999-12-01","441","Motor vehicle and parts dealers",,60218
"1999-12-01","4411","Automobile dealers",,52406
"1999-12-01","4411, 4412","Automobile and other motor vehicle dealers",,55109
"1999-12-01","44111","New car dealers",,48311
"1999-12-01","44112","Used car dealers",,4095
"1999-12-01","4413","Automotive parts, acc., and tire stores",,5109
"1999-12-01","442","Furniture and home furnishings stores",,8883
"1999-12-01","442, 443","Furniture, home furn, electronics, and appliance stores",,21134
"1999-12-01","4421","Furniture stores",,4548
"1999-12-01","4422","Home furnishings stores",,4335
"1999-12-01","44221","Floor covering stores",,1535
"1999-12-01","442299","All other home furnishings stores","Not Available",
"1999-12-01","443","Electronics and appliance stores",,12251
"1999-12-01","443141","Household appliance stores",,1246
"1999-12-01","443142","Electronics stores",,11005
"1999-12-01","444","Building mat. and garden equip. and supplies dealers",,17789
"1999-12-01","4441","Building mat. and supplies dealers",,15217
"1999-12-01","44412","Paint and wallpaper stores","Not Available",
"1999-12-01","44413","Hardware stores",,1380
"1999-12-01","445","Food and beverage stores",,41938
"1999-12-01","4451","Grocery stores",,37046
"1999-12-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1999-12-01","4453","Beer, wine, and liquor stores",,3265
"1999-12-01","446","Health and personal care stores",,15118
"1999-12-01","44611","Pharmacies and drug stores",,12884
"1999-12-01","447","Gasoline stations",,19653
"1999-12-01","448","Clothing and clothing access. stores",,24286
"1999-12-01","4481","Clothing stores",,15479
"1999-12-01","44811","Men's clothing stores",,1335
"1999-12-01","44812","Women's clothing stores",,3639
"1999-12-01","44814","Family clothing stores",,8150
"1999-12-01","44819","Other clothing stores","Not Available",
"1999-12-01","4482","Shoe stores",,2475
"1999-12-01","44831","Jewelry stores",,6034
"1999-12-01","451","Sporting goods, hobby, musical instrument, and book stores",,9863
"1999-12-01","45111","Sporting goods stores",,3227
"1999-12-01","45112","Hobby, toy, and game stores",,3711
"1999-12-01","451211","Book stores",,1996
"1999-12-01","452","General merchandise stores",,53046
"1999-12-01","4521","Department stores",,33972
"1999-12-01","452111","Department stores(excl. discount department stores)",,15875
"1999-12-01","452112","Discount dept. stores",,18097
"1999-12-01","4529","Other general merchandise stores",,19074
"1999-12-01","45291","Warehouse clubs and superstores",,15003
"1999-12-01","45299","All other gen. merchandise stores",,4071
"1999-12-01","453","Miscellaneous store retailers",,12350
"1999-12-01","4532","Office supplies, stationery, and gift stores",,5551
"1999-12-01","45321","Office supplies and stationery stores",,2108
"1999-12-01","45322","Gift, novelty, and souvenir stores",,3443
"1999-12-01","45330","Used merchandise stores",,1052
"1999-12-01","454","Nonstore retailers",,17618
"1999-12-01","4541","Electronic shopping and mail-order houses",,11863
"1999-12-01","45431","Fuel dealers",,2443
"1999-12-01","722","Food services and drinking places",,24646
"1999-12-01","7224","Drinking places",,1261
"1999-12-01","7225","Restaurants and other eating places",,21089
"1999-12-01","722511","Full service restaurants",,10654
"1999-12-01","722513, 722514, 722515","Limited service eating places",,10435
"1999-12-01",,"Retail sales and food services excl gasoline stations",,298006
"1999-12-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,237788
"1999-12-01",,"Retail sales and food services excl motor vehicle and parts",,257441
"1999-12-01",,"Retail sales, total",,293013
"1999-12-01",,"GAFO(1)",,113880
"1999-12-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,232795
"1999-12-01",,"Retail and food services sales, total",,317659
"2000-01-01","441","Motor vehicle and parts dealers",,58773
"2000-01-01","4411","Automobile dealers",,51413
"2000-01-01","4411, 4412","Automobile and other motor vehicle dealers",,54082
"2000-01-01","44111","New car dealers",,47032
"2000-01-01","44112","Used car dealers",,4381
"2000-01-01","4413","Automotive parts, acc., and tire stores",,4691
"2000-01-01","442","Furniture and home furnishings stores",,6638
"2000-01-01","442, 443","Furniture, home furn, electronics, and appliance stores",,13840
"2000-01-01","4421","Furniture stores",,3897
"2000-01-01","4422","Home furnishings stores",,2741
"2000-01-01","44221","Floor covering stores",,1370
"2000-01-01","442299","All other home furnishings stores","Not Available",
"2000-01-01","443","Electronics and appliance stores",,7202
"2000-01-01","443141","Household appliance stores",,926
"2000-01-01","443142","Electronics stores",,6276
"2000-01-01","444","Building mat. and garden equip. and supplies dealers",,15381
"2000-01-01","4441","Building mat. and supplies dealers",,13314
"2000-01-01","44412","Paint and wallpaper stores","Not Available",
"2000-01-01","44413","Hardware stores",,1071
"2000-01-01","445","Food and beverage stores",,34190
"2000-01-01","4451","Grocery stores",,31336
"2000-01-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"2000-01-01","4453","Beer, wine, and liquor stores",,1920
"2000-01-01","446","Health and personal care stores",,11960
"2000-01-01","44611","Pharmacies and drug stores",,10071
"2000-01-01","447","Gasoline stations",,17693
"2000-01-01","448","Clothing and clothing access. stores",,9447
"2000-01-01","4481","Clothing stores",,6683
"2000-01-01","44811","Men's clothing stores",,635
"2000-01-01","44812","Women's clothing stores",,1682
"2000-01-01","44814","Family clothing stores",,3272
"2000-01-01","44819","Other clothing stores","Not Available",
"2000-01-01","4482","Shoe stores",,1396
"2000-01-01","44831","Jewelry stores",,1244
"2000-01-01","451","Sporting goods, hobby, musical instrument, and book stores",,4698
"2000-01-01","45111","Sporting goods stores",,1591
"2000-01-01","45112","Hobby, toy, and game stores",,893
"2000-01-01","451211","Book stores",,1505
"2000-01-01","452","General merchandise stores",,25958
"2000-01-01","4521","Department stores",,14728
"2000-01-01","452111","Department stores(excl. discount department stores)",,5738
"2000-01-01","452112","Discount dept. stores",,8990
"2000-01-01","4529","Other general merchandise stores",,11230
"2000-01-01","45291","Warehouse clubs and superstores",,9180
"2000-01-01","45299","All other gen. merchandise stores",,2050
"2000-01-01","453","Miscellaneous store retailers",,7983
"2000-01-01","4532","Office supplies, stationery, and gift stores",,3247
"2000-01-01","45321","Office supplies and stationery stores",,2098
"2000-01-01","45322","Gift, novelty, and souvenir stores",,1149
"2000-01-01","45330","Used merchandise stores",,682
"2000-01-01","454","Nonstore retailers",,13786
"2000-01-01","4541","Electronic shopping and mail-order houses",,8087
"2000-01-01","45431","Fuel dealers",,2920
"2000-01-01","722","Food services and drinking places",,22713
"2000-01-01","7224","Drinking places",,1196
"2000-01-01","7225","Restaurants and other eating places",,19529
"2000-01-01","722511","Full service restaurants",,10045
"2000-01-01","722513, 722514, 722515","Limited service eating places",,9484
"2000-01-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,159956
"2000-01-01",,"Retail sales, total",,213709
"2000-01-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,154936
"2000-01-01",,"Retail sales and food services excl motor vehicle and parts",,177649
"2000-01-01",,"Retail and food services sales, total",,236422
"2000-01-01",,"Retail sales and food services excl gasoline stations",,218729
"2000-01-01",,"GAFO(1)",,57190
"2000-02-01","441","Motor vehicle and parts dealers",,66892
"2000-02-01","4411","Automobile dealers",,58828
"2000-02-01","4411, 4412","Automobile and other motor vehicle dealers",,62015
"2000-02-01","44111","New car dealers",,53501
"2000-02-01","44112","Used car dealers",,5327
"2000-02-01","4413","Automotive parts, acc., and tire stores",,4877
"2000-02-01","442","Furniture and home furnishings stores",,6989
"2000-02-01","442, 443","Furniture, home furn, electronics, and appliance stores",,14126
"2000-02-01","4421","Furniture stores",,4072
"2000-02-01","4422","Home furnishings stores",,2917
"2000-02-01","44221","Floor covering stores",,1451
"2000-02-01","442299","All other home furnishings stores","Not Available",
"2000-02-01","443","Electronics and appliance stores",,7137
"2000-02-01","443141","Household appliance stores",,929
"2000-02-01","443142","Electronics stores",,6208
"2000-02-01","444","Building mat. and garden equip. and supplies dealers",,16170
"2000-02-01","4441","Building mat. and supplies dealers",,14047
"2000-02-01","44412","Paint and wallpaper stores","Not Available",
"2000-02-01","44413","Hardware stores",,1033
