full_name,first_name,last_name,middle_name,nickname,suffix,other_names_end,other_names_middle,other_names_last,birthday,gender,id_bioguide,id_bioguide_previous_0,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,id_house_history,id_house_history_alternate,id_thomas,id_cspan,id_votesmart,id_lis,id_ballotpedia,id_opensecrets,id_fec_0,id_fec_1,id_fec_2
"Peleg Coffin","Peleg","Coffin",,,"Jr.",,,,"1756-11-03","M","C000591",,402720,1906,"Peleg Coffin Jr.","Q2067932","kg:/m/08vvd0",11191,,,,,,,,,,
"William Johnson Dawson","William","Dawson","Johnson",,,,,,,"M","D000157",,412032,2432,"William Johnston Dawson","Q2579535","kg:/m/04f920",12026,,,,,,,,,,
"Benjamin Edwards","Benjamin","Edwards",,,,,,,"1753-08-12","M","E000060",,403755,2859,"Benjamin Edwards (Maryland)","Q868544","kg:/m/08v3d9",12673,,,,,,,,,,
"Thomas Fitzsimons","Thomas","Fitzsimons",,,,,,,,"M","F000178",,404133,3196,"Thomas Fitzsimons","Q671958","kg:/m/021h9p",13194,,,,,,,,,,
"Uriah Forrest","Uriah","Forrest",,,,,,,,"M","F000282",,404232,3285,"Uriah Forrest","Q868551","kg:/m/04cjt9",13328,,,,,,,,,,
"Frederick Frelinghuysen","Frederick","Frelinghuysen",,,,,,,"1753-04-13","M","F000368",,404314,3361,"Frederick Frelinghuysen (general)","Q5497813","kg:/m/02_31t",13434,,,,,,,,,,
"Alexander Gillon","Alexander","Gillon",,,,,,,,"M","G000211",,404574,3607,"Alexander Gillon","Q2642191","kg:/m/096sf7",13832,,,,,,,,,,
"James Gordon","James","Gordon",,,,,,,"1739-10-31","M","G000311",,404669,3695,"James Gordon (New York)","Q868475","kg:/m/09143y",13956,,,,,,,,,,
"Samuel Griffin","Samuel","Griffin",,,,,,,,"M","G000466",,404811,3825,"Samuel Griffin","Q1571504","kg:/m/089cbk",14153,,,,,,,,,,
"Samuel Holten","Samuel","Holten",,,,,,,"1738-06-09","M","H000750",,405601,4546,"Samuel Holten","Q1716923","kg:/m/04htnn",15210,,,,,,,,,,
"William Irvine","William","Irvine",,,,,,,"1741-11-03","M","I000035",,405892,4820,"William Irvine (general)","Q3568725","kg:/m/04vncx",15660,,,,,,,,,,
"Amasa Learned","Amasa","Learned",,,,,,,"1750-11-15","M","L000178",,406680,5543,"Amasa Learned","Q455350","kg:/m/08sr8s",16819,,,,,,,,,,
"Richard Bland Lee","Richard","Lee","Bland",,,,,,"1761-01-20","M","L000200",,406703,5564,"Richard Bland Lee","Q2149095","kg:/m/08tvdf",16844,,,,,,,,,,
"Alexander Martin","Alexander","Martin",,,,,,,,"M","M000166",,407188,6012,"Alexander Martin","Q642264","kg:/m/02j2c6",,,,,,,,,,,
"Joseph McDowell","Joseph","McDowell",,,,,,,"1758-02-25","M","M000424",,407423,6230,"Joseph ""Pleasant Gardens"" McDowell","Q1707603","kg:/m/033sft",17857,,,,,,,,,,
"Alexander Mebane","Alexander","Mebane",,,,,,,"1744-11-26","M","M000622",,407611,6401,"Alexander Mebane","Q2545396","kg:/m/04f8w6",18102,,,,,,,,,,
"John Francis Mercer","John","Mercer","Francis",,,,,,"1759-05-17","M","M000645",,407631,6418,"John Francis Mercer","Q880672","kg:/m/08sw4r",18132,,,,,,,,,,
"Stephen Mix Mitchell","Stephen","Mitchell","Mix",,,,,,"1743-12-09","M","M000828",,407803,6574,"Stephen Mix Mitchell","Q369829","kg:/m/057py6",18370,,,,,,,,,,
"William Montgomery","William","Montgomery",,,,,,,"1736-08-03","M","M000873",,407845,6608,"William Montgomery (Pennsylvania)","Q8015749","kg:/m/094hf8",18428,,,,,,,,,,
"Joseph Neville","Joseph","Neville",,,,,,,,"M","N000055",,408143,6883,"Joseph Neville","Q1707698","kg:/m/09w6bd",18904,,,,,,,,,,
"Nathaniel Niles","Nathaniel","Niles",,,,,,,"1741-04-03","M","N000109",,408193,6932,"Nathaniel Niles (politician)","Q1966777","kg:/m/09q65p",18966,,,,,,,,,,
"Andrew Pickens","Andrew","Pickens",,,,,,,"1739-09-13","M","P000320",,408719,7425,"Andrew Pickens (congressman)","Q506733","kg:/m/01k1kl",19670,,,,,,,,,,
"Thomas Scott","Thomas","Scott",,,,,,,,"M","S000186",,409691,8312,"Thomas Scott (politician)","Q6171054","kg:/m/05k3d8",21369,,,,,,,,,,
"Caleb Strong","Caleb","Strong",,,,,,,"1745-01-09","M","S001009",,410466,9028,"Caleb Strong","Q546613","kg:/m/03d7pr",,,,,,,,,,,
"Silas Talbot","Silas","Talbot",,,,,,,"1751-01-11","M","T000019",,410609,9161,"Silas Talbot","Q12410052","kg:/m/02mr25",22655,,,,,,,,,,
"Thomas Tredwell","Thomas","Tredwell",,,,,,,"1743-02-06","M","T000361",,410931,9463,"Thomas Tredwell","Q2427741","kg:/m/08z7z9",23076,,,,,,,,,,
"Peter Van Gaasbeck","Peter","Van Gaasbeck",,,,,,,"1754-09-27","M","V000039",,411084,9615,"Peter Van Gaasbeck","Q499513","kg:/m/08zsxb",20924,,,,,,,,,,
"John Vining","John","Vining",,,,,,,"1758-12-23","M","V000104",,411159,9676,"John Vining","Q1700934","kg:/m/04mpqv",20999,,,,,,,,,,
"Jeremiah Wadsworth","Jeremiah","Wadsworth",,,,,,,"1743-07-12","M","W000013",,411192,9706,"Jeremiah Wadsworth","Q1687546","kg:/m/04fv3k",23236,,,,,,,,,,
"Francis Walker","Francis","Walker",,,,,,,"1764-06-22","M","W000051",,411230,9739,"Francis Walker (Virginia)","Q82431","kg:/m/07vs28",23277,,,,,,,,,,
"Artemas Ward","Artemas","Ward",,,,,,,"1727-11-26","M","W000127",,411302,9808,"Artemas Ward","Q321887","kg:/m/01l7tx",23364,,,,,,,,,,
"John Watts","John","Watts",,,,,,,"1749-08-27","M","W000211",,411380,9881,"John Watts (New York politician)","Q1702113","kg:/m/02mrwr",23469,,,,,,,,,,
"Benjamin Williams","Benjamin","Williams",,,,,,,"1751-01-01","M","W000491",,411648,10136,"Benjamin Williams","Q817741","kg:/m/02j23l",23799,,,,,,,,,,
"Paine Wingate","Paine","Wingate",,,,,,,"1739-05-14","M","W000633",,411787,10272,"Paine Wingate","Q1638165","kg:/m/03zy2r",23968,,,,,,,,,,
"Henry Tazewell","Henry","Tazewell",,,,,,,"1753-11-27","M","T000107",,410689,9238,"Henry Tazewell","Q765041","kg:/m/03psr6",,,,,,,,,,,
"George Walton","George","Walton",,,,,,,,"M","W000114",,412123,9796,"George Walton","Q878512","kg:/m/01mrl8",23348,,,,,,,,,,
"Fisher Ames","Fisher","Ames",,,,,,,"1758-04-09","M","A000174",,400829,154,"Fisher Ames","Q1194576","kg:/m/01gycn",8498,,,,,,,,,,
"William Bingham","William","Bingham",,,,,,,"1752-03-08","M","B000474",,401455,719,"William Bingham","Q2113530","kg:/m/033l_z",9392,,,,,,,,,,
"Timothy Bloodworth","Timothy","Bloodworth",,,,,,,,"M","B000563",,401537,800,"Timothy Bloodworth","Q433132","kg:/m/02kl3p",9503,,,,,,,,,,
"Benjamin Bourne","Benjamin","Bourne",,,,,,,"1755-09-09","M","B000669",,401631,884,"Benjamin Bourne","Q817423","kg:/m/03q11d",9649,,,,,,,,,,
"Daniel Buck","Daniel","Buck",,,,,,,"1753-11-09","M","B001014",,401964,1195,"Daniel Buck","Q179529","kg:/m/02663gk",10087,,,,,,,,,,
"Isaac Coles","Isaac","Coles",,,,,,,"1747-03-02","M","C000624",,402753,1936,"Isaac Coles","Q1673374","kg:/m/03zcsx",11231,,,,,,,,,,
"Jeremiah Crabb","Jeremiah","Crabb",,,,,,,,"M","C000848",,402964,2125,"Jeremiah Crabb","Q868341","kg:/m/0ddhgf",11517,,,,,,,,,,
"Henry Dearborn","Henry","Dearborn",,,,,,,"1751-02-23","M","D000178",,403340,2451,"Henry Dearborn","Q963349","kg:/m/01jv0s",12053,,,,,,,,,,
"Gabriel Duvall","Gabriel","Duvall",,,,,,,"1752-12-06","M","D000578",,403681,2796,"Gabriel Duvall","Q1489164","kg:/m/037q61",12544,,,,,,,,,,
"Samuel Earle","Samuel","Earle",,,,,,,"1760-11-28","M","E000010",,403706,2816,"Samuel Earle","Q2218177","kg:/m/0264j61",12614,,,,,,,,,,
"Ezekiel Gilbert","Ezekiel","Gilbert",,,,,,,"1756-03-25","M","G000173",,404539,3573,"Ezekiel Gilbert","Q868795","kg:/m/08zt16",13783,,,,,,,,,,
"Christopher Greenup","Christopher","Greenup",,,,,,,,"M","G000434",,404782,3798,"Christopher Greenup","Q359433","kg:/m/03nnxw",14114,,,,,,,,,,
"James Gunn","James","Gunn",,,,,,,"1753-03-13","M","G000526",,404870,3877,"James Gunn (senator)","Q956982","kg:/m/01vr5z",14224,,,,,,,,,,
"George Hancock","George","Hancock",,,,,,,"1754-06-13","M","H000148",,405030,4026,"George Hancock (Virginia)","Q1507501","kg:/m/07vjz4",14465,,,,,,,,,,
"John Hathorn","John","Hathorn",,,,,,,"1749-01-09","M","H000348",,405217,4193,"John Hathorn","Q499736","kg:/m/02qky7",14711,,,,,,,,,,
"John Heath","John","Heath",,,,,,,"1758-05-08","M","H000431",,405297,4269,"John Heath (politician)","Q195030","kg:/m/09xbp3",14811,,,,,,,,,,
"Thomas Henderson","Thomas","Henderson",,,,,,,"1743-08-15","M","H000488",,405351,4315,"Thomas Henderson (New Jersey)","Q435140","kg:/m/0265_d0",14885,,,,,,,,,,
"John Henry","John","Henry",,,,,,,,"M","H000508",,405370,4333,"John Henry (Maryland politician)","Q202950","kg:/m/01k42p",14915,,,,,,,,,,
"John Langdon","John","Langdon",,,,,,,"1741-06-26","M","L000067",,406576,5449,"John Langdon (politician)","Q554454","kg:/m/02ctc_",16671,,,,,,,,,,
"George Leonard","George","Leonard",,,,,,,"1729-07-04","M","L000246",,406749,5611,"George Leonard (Congressman)","Q1507754","kg:/m/06g6vm",16899,,,,,,,,,,
"William Lyman","William","Lyman",,,,,,,"1755-12-07","M","L000530",,407014,5852,"William Lyman (congressman)","Q1510629","kg:/m/08xvth",17254,,,,,,,,,,
"Humphrey Marshall","Humphrey","Marshall",,,,,,,,"M","M000155",,407176,6000,"Humphrey Marshall (politician)","Q1386353","kg:/m/08g5df",,,,,,,,,,,
"Frederick Augustus Conrad Muhlenberg","Frederick","Muhlenberg","Augustus Conrad",,,,,,"1750-01-01","M","M001063",,408029,6781,"Frederick Muhlenberg","Q724629","kg:/m/01d0wm",18657,,,,,,,,,,
"De Witt Clinton","De","Clinton","Witt",,,,,,"1769-03-02","M","C000525",,402659,1847,"DeWitt Clinton","Q527462","kg:/m/0fd_1",,,,,,,,,,,
"William Vans Murray","William","Murray","Vans",,,,,,"1760-02-09","M","M001119",,408082,6830,"William Vans Murray","Q1721684","kg:/m/08vs3_",18724,,,,,,,,,,
"Alexander Dalrymple Orr","Alexander","Orr","Dalrymple",,,,,,"1761-11-06","M","O000101",,408358,7084,"Alexander D. Orr","Q2641948","kg:/m/08t74n",19190,,,,,,,,,,
"John Page","John","Page",,,,,,,"1743-04-17","M","P000018",,408429,7156,"John Page (Virginia politician)","Q732158","kg:/m/03rvds",19304,,,,,,,,,,
"Elijah Paine","Elijah","Paine",,,,,,,"1757-01-21","M","P000026",,408437,7164,"Elijah Paine","Q382730","kg:/m/0b0xrk",,,,,,,,,,,
"John Patten","John","Patten",,,,,,,"1746-04-26","M","P000108",,408516,7235,"John Patten (American politician)","Q1435759","kg:/m/073kkn",19407,,,,,,,,,,
"Francis Preston","Francis","Preston",,,,,,,"1765-08-02","M","P000514",,408899,7603,"Francis Preston","Q1441699","kg:/m/09x877",19915,,,,,,,,,,
"Jacob Read","Jacob","Read",,,,,,,,"M","R000092",,409072,7763,"Jacob Read","Q176134","kg:/m/066k0l",20197,,,,,,,,,,
"John Richards","John","Richards",,,,,,,"1753-04-18","M","R000215",,409191,7870,"John Richards (Pennsylvania)","Q6254769","kg:/m/02663bs",20349,,,,,,,,,,
"Robert Rutherford","Robert","Rutherford",,,,,,,"1728-10-20","M","R000548",,409504,8148,"Robert Rutherford (congressman)","Q2158678","kg:/m/09w5n7",20756,,,,,,,,,,
"John Samuel Sherburne","John","Sherburne","Samuel",,,,,,,"M","S000339",,409836,8448,"John Samuel Sherburne","Q1684009","kg:/m/08xx82",21558,,,,,,,,,,
"Isaac Smith","Isaac","Smith",,,,,,,,"M","S000555",,410037,8637,"Isaac Smith (New Jersey)","Q1673446","kg:/m/0261985",21822,,,,,,,,,,
"Thomas Sprigg","Thomas","Sprigg",,,,,,,,"M","S000753",,410220,8811,"Thomas Sprigg","Q1203664","kg:/m/08v3w_",22068,,,,,,,,,,
"William Francis Strudwick","William","Strudwick","Francis",,,,,,,"M","S001029",,412181,9048,"William Francis Strudwick","Q2578868","kg:/m/04f9hn",22410,,,,,,,,,,
"Zephaniah Swift","Zephaniah","Swift",,,,,,,"1759-02-27","M","S001119",,410571,9127,"Zephaniah Swift","Q181432","kg:/m/08t5zc",22520,,,,,,,,,,
"Absalom Tatom","Absalom","Tatom",,,,,,,,"M","T000050",,410638,9187,"Absalom Tatom","Q331709","kg:/m/04f9c4",22695,,,,,,,,,,
"Jonathan Trumbull","Jonathan","Trumbull",,,"Jr.",,,,"1740-03-26","M","T000389",,410958,9489,"Jonathan Trumbull Jr.","Q881004","kg:/m/01rbqk",23110,,,,,,,,,,
"James White","James","White",,,,,,,"1749-06-16","M","W000377",,411538,,"James White (North Carolina politician)","Q532708","kg:/m/06t1db",23662,,,,,,,,,,
"William Blount","William","Blount",,,,,,,"1749-03-26","M","B000570",,401543,806,"William Blount","Q767446","kg:/m/01rfbf",9512,,,,,,,,,,
"Benjamin Goodhue","Benjamin","Goodhue",,,,,,,"1748-09-20","M","G000286",,404647,3674,"Benjamin Goodhue","Q817516","kg:/m/089c8h",13925,,,,,,,,,,
"John Eager Howard","John","Howard","Eager",,,,,,"1752-06-04","M","H000841",,405688,4628,"John Eager Howard","Q653713","kg:/m/0dhm7",15326,,,,,,,,,,
"John Hunter","John","Hunter",,,,,,,,"M","H000982",,412128,4753,"John Hunter (South Carolina politician)","Q431881","kg:/m/096rcx",15493,,,,,,,,,,
"John Laurance","John","Laurance",,,,,,,,"M","L000120",,406626,5498,"John Laurance","Q457691","kg:/m/0294pf",16748,,,,,,,,,,
"Josiah Tattnall","Josiah","Tattnall",,,,,,,,"M","T000052",,410640,9189,"Josiah Tattnall (Senator)","Q357713","kg:/m/0b2f92",,,,,,,,,,,
"John Allen","John","Allen",,,,,,,"1763-06-12","M","A000129",,400785,112,"John Allen (Connecticut)","Q1564861","kg:/m/026640s",8440,,,,,,,,,,
"Lemuel Benton","Lemuel","Benton",,,,,,,,"M","B000396",,401387,656,"Lemuel Benton","Q1817142","kg:/m/096ssd",9288,,,,,,,,,,
"Theophilus Bradbury","Theophilus","Bradbury",,,,,,,"1739-11-13","M","B000735",,401695,947,"Theophilus Bradbury","Q2419098","kg:/m/0csf02",9733,,,,,,,,,,
"David Brooks","David","Brooks",,,,,,,,"M","B000875",,401832,1072,"David Brooks (politician)","Q1173839","kg:/m/0ks048",9909,,,,,,,,,,
"Nathan Bryan","Nathan","Bryan",,,,,,,,"M","B000991",,401943,1176,"Nathan Bryan (North Carolina politician)","Q1563170","kg:/m/04f9l2",10055,,,,,,,,,,
"Stephen Bullock","Stephen","Bullock",,,,,,,"1735-10-10","M","B001053",,402001,1232,"Stephen Bullock","Q2344581","kg:/m/0261t2h",10132,,,,,,,,,,
"Dempsey Burges","Dempsey","Burges",,,,,,,,"M","B001081",,402027,1255,"Dempsey Burges","Q972369","kg:/m/04ft0_",10170,,,,,,,,,,
"John Chapman","John","Chapman",,,,,,,"1740-10-18","M","C000313",,402455,1655,"John Chapman (congressman)","Q2658986","kg:/m/027lkyd",10847,,,,,,,,,,
"Nathaniel Chipman","Nathaniel","Chipman",,,,,,,"1752-11-15","M","C000369",,402508,1706,"Nathaniel Chipman","Q433382","kg:/m/0cvgv1",,,,,,,,,,,
"James Cochran","James","Cochran",,,,,,,"1769-02-11","M","C000563",,402694,1881,"James Cochran (New York politician)","Q1619212","kg:/m/0g6n74",11154,,,,,,,,,,
"Joshua Coit","Joshua","Coit",,,,,,,"1758-10-07","M","C000600",,402729,1914,"Joshua Coit","Q1701028","kg:/m/08sqhg",11202,,,,,,,,,,
"James Davenport","James","Davenport",,,,,,,"1758-10-12","M","D000073",,403211,2355,"James Davenport (Connecticut congressman)","Q744560","kg:/m/0b2wsc",11921,,,,,,,,,,
"George Ege","George","Ege",,,,,,,"1748-03-09","M","E000089",,403782,2881,"George Ege","Q5538924","kg:/m/02663d4",12707,,,,,,,,,,
"Theodore Foster","Theodore","Foster",,,,,,,"1752-04-29","M","F000313",,404262,3315,"Theodore Foster","Q431894","kg:/m/03zxpg",,,,,,,,,,,
"Nathaniel Freeman","Nathaniel","Freeman",,,"Jr.",,,,"1766-05-01","M","F000365",,404311,3358,"Nathaniel Freeman Jr.","Q1966740","kg:/m/0260vht",13430,,,,,,,,,,
"Carter Bassett Harrison","Carter","Harrison","Bassett",,,,,,,"M","H000266",,412155,4127,"Carter Bassett Harrison","Q1045838","kg:/m/04w9yq",14614,,,,,,,,,,
"Hezekiah Lord Hosmer","Hezekiah","Hosmer","Lord",,,,,,"1765-06-07","M","H000803",,405652,4593,"Hezekiah L. Hosmer","Q868783","kg:/m/0260x53",15276,,,,,,,,,,
"Henry Latimer","Henry","Latimer",,,,,,,"1752-04-24","M","L000115",,406621,5494,"Henry Latimer (senator)","Q450169","kg:/m/05p0c0",16741,,,,,,,,,,
"James Lloyd","James","Lloyd",,,,,,,,"M","L000377",,406869,5725,"James Lloyd (Maryland politician)","Q433351","kg:/m/05r_rm",,,,,,,,,,,
"Matthew Locke","Matthew","Locke",,,,,,,,"M","L000389",,406881,5734,"Matthew Locke (U.S. Congress)","Q974307","kg:/m/04fd_f",17076,,,,,,,,,,
"James Machir","James","Machir",,,,,,,,"M","M000013",,412066,5879,"James Machir","Q1680754","kg:/m/02pp9xm",17344,,,,,,,,,,
"Stevens Thomson Mason","Stevens","Mason","Thomson",,,,,,"1760-12-29","M","M000226",,407244,6063,"Stevens Thomson Mason (Virginia)","Q331107","kg:/m/04bz1d",,,,,,,,,,,
"William Matthews","William","Matthews",,,,,,,"1755-04-26","M","M000256",,407274,6087,"William Matthews (politician)","Q2120003","kg:/m/0dzwlm",17639,,,,,,,,,,
"Blair McClenachan","Blair","McClenachan",,,,,,,,"M","M000336",,412070,6155,"Blair McClenachan","Q4924141","kg:/m/0266635",17742,,,,,,,,,,
"Joseph McDowell","Joseph","McDowell",,,,,,,"1756-02-15","M","M000423",,407424,6229,"Joseph McDowell, Jr.","Q1524227","kg:/m/033sd0",17856,,,,,,,,,,
"Daniel Morgan","Daniel","Morgan",,,,,,,,"M","M000946",,407914,6674,"Daniel Morgan","Q2767","kg:/m/01jkp9",18518,,,,,,,,,,
"Isaac Parker","Isaac","Parker",,,,,,,"1768-06-17","M","P000058",,408468,7192,"Isaac Parker (congressman)","Q927036","kg:/m/0265tpy",19347,,,,,,,,,,
"James Ross","James","Ross",,,,,,,"1762-07-12","M","R000448",,409412,8070,"James Ross (Pennsylvania politician)","Q503524","kg:/m/043p20",,,,,,,,,,,
"John Rutherfurd","John","Rutherfurd",,,,,,,"1760-09-20","M","R000550",,409506,8150,"John Rutherfurd","Q376716","kg:/m/08ldzv",,,,,,,,,,,
"Philip John Schuyler","Philip","Schuyler","John",,,,,,"1733-11-20","M","S000154",,409661,8282,"Philip Schuyler","Q1115886","kg:/m/01stsb",21330,,,,,,,,,,
"Thomas Sinnickson","Thomas","Sinnickson",,,,,,,"1744-12-21","M","S000448",,409941,8544,"Thomas Sinnickson (merchant)","Q2427322","kg:/m/079yl7",21696,,,,,,,,,,
"Samuel Sitgreaves","Samuel","Sitgreaves",,,,,,,"1764-03-16","M","S000460",,409952,8555,"Samuel Sitgreaves","Q7412643","kg:/m/0264jkd",21711,,,,,,,,,,
"Jeremiah Smith","Jeremiah","Smith",,,,,,,"1759-11-29","M","S000563",,410045,8644,"Jeremiah Smith (lawyer)","Q2734279","kg:/m/0851nn",21832,,,,,,,,,,
"Nathaniel Smith","Nathaniel","Smith",,,,,,,"1762-01-06","M","S000595",,410075,8671,"Nathaniel Smith","Q1966804","kg:/m/01dzj8",21870,,,,,,,,,,
"William Smith","William","Smith",,,,,,,"1751-09-20","M","S000625",,410100,8695,"William Smith (South Carolina representative)","Q2580575","kg:/m/071l1k",21908,,,,,,,,,,
"William Loughton Smith","William","Smith","Loughton",,,,,,,"M","S000633",,410107,8702,"William Loughton Smith","Q2579645","kg:/m/096s4v",21917,,,,,,,,,,
"Peleg Sprague","Peleg","Sprague",,,,,,,"1756-12-10","M","S000743",,410212,8802,"Peleg Sprague (New Hampshire politician)","Q1754256","kg:/m/02pmtm1",22056,,,,,,,,,,
"John Swanwick","John","Swanwick",,,,,,,,"M","S001095",,410548,9107,"John Swanwick","Q13219839","kg:/m/0264jfz",22492,,,,,,,,,,
"Mark Thomson","Mark","Thomson",,,,,,,,"M","T000232",,410811,9353,"Mark Thomson","Q1900462","kg:/m/0262lcf",22914,,,,,,,,,,
"John Evert Van Alen","John","Van Alen","Evert",,,,,,,"M","V000012",,411070,9591,"John Evert Van Alen","Q1103463","kg:/m/08ztfr",20893,,,,,,,,,,
"John Williams","John","Williams",,,,,,,,"M","W000513",,411671,10159,"John Williams (Salem, New York)","Q6264325","kg:/m/0344_f",23825,,,,,,,,,,
"Joshua Clayton","Joshua","Clayton",,,,,,,"1744-07-20","M","C000497",,402634,1823,"Joshua Clayton","Q652987","kg:/m/0886hv",,,,,,,,,,,
"John Sloss Hobart","John","Hobart","Sloss",,,,,,"1738-05-06","M","H000661",,405516,4469,"John Sloss Hobart","Q437169","kg:/m/067yvr",,,,,,,,,,,
"William North","William","North",,,,,,,,"M","N000142",,408226,6963,"William North","Q6017855","kg:/m/06gh8j",,,,,,,,,,,
"James Watson","James","Watson",,,,,,,"1750-04-06","M","W000202",,411373,9874,"James Watson (New York)","Q438181","kg:/m/02qkt0",,,,,,,,,,,
"Bailey Bartlett","Bailey","Bartlett",,,,,,,"1750-01-29","M","B000198",,401197,484,"Bailey Bartlett","Q252932","kg:/m/0csf26",9027,,,,,,,,,,
"Jonathan Brace","Jonathan","Brace",,,,,,,"1754-11-12","M","B000731",,401691,943,"Jonathan Brace","Q1703100","kg:/m/0f4tf9",9729,,,,,,,,,,
"John Brown","John","Brown",,,,,,,"1736-01-27","M","B000927",,401882,1116,"John Brown (Rhode Island)","Q1661398","kg:/m/033qzm",9976,,,,,,,,,,
"John Brown","John","Brown",,,,,,,"1757-09-12","M","B000929",,401881,1118,"John Brown (Kentucky)","Q433454","kg:/m/033z5s",9979,,,,,,,,,,
"Gabriel Christie","Gabriel","Christie",,,,,,,"1775-09-12","M","C000382",,402521,1716,"Gabriel Christie (Maryland)","Q2120012","kg:/m/08vq52",10932,,,,,,,,,,
"William Cocke","William","Cocke",,,,,,,,"M","C000572",,402701,1888,"William Cocke","Q5610267","kg:/m/03jz31",,,,,,,,,,,
"William Cooper","William","Cooper",,,,,,,"1754-12-02","M","C000764",,402884,2058,"William Cooper (judge)","Q10393681","kg:/m/046j74",11412,,,,,,,,,,
"William Craik","William","Craik",,,,,,,"1761-10-31","M","C000863",,402978,2139,"William Craik","Q868556","kg:/m/02611by",11535,,,,,,,,,,
"Franklin Davenport","Franklin","Davenport",,,,,,,,"M","D000069",,403207,2351,"Franklin Davenport","Q376701","kg:/m/0b1tyl",11916,,,,,,,,,,
"Jonathan Dayton","Jonathan","Dayton",,,,,,,"1760-10-16","M","D000165",,403297,2440,"Jonathan Dayton","Q461697","kg:/m/01rc0c",12038,,,,,,,,,,
"George Dent","George","Dent",,,,,,,,"M","D000254",,403392,2512,"George Dent","Q219449","kg:/m/08t7kg",12144,,,,,,,,,,
"Samuel Dexter","Samuel","Dexter",,,,,,,"1761-05-14","M","D000296",,403419,2550,"Samuel Dexter","Q594570","kg:/m/034v0t",12194,,,,,,,,,,
"Joseph Dickson","Joseph","Dickson",,,,,,,,"M","D000331",,403449,2581,"Joseph Dickson","Q1706853","kg:/m/09v1qs",12239,,,,,,,,,,
"William Edmond","William","Edmond",,,,,,,"1755-09-28","M","E000052",,403747,2852,"William Edmond","Q1739380","kg:/m/0f7n83",12663,,,,,,,,,,
"Joseph Eggleston","Joseph","Eggleston",,,,,,,"1754-11-24","M","E000091",,403784,2883,"Joseph Eggleston","Q1706901","kg:/m/07lc6v",12709,,,,,,,,,,
"Thomas Evans","Thomas","Evans",,,,,,,,"M","E000257",,412146,3021,"Thomas Evans (Virginia politician)","Q2423731","kg:/m/07wkyn",12917,,,,,,,,,,
"Jonathan Freeman","Jonathan","Freeman",,,,,,,"1745-03-21","M","F000364",,404310,3357,"Jonathan Freeman (representative)","Q1703164","kg:/m/0260vf1",13429,,,,,,,,,,
"Albert Gallatin","Albert","Gallatin",,,,,,,"1761-01-29","M","G000020",,404397,3437,"Albert Gallatin","Q500046","kg:/m/01p369",13588,,,,,,,,,,
"Henry Glen","Henry","Glen",,,,,,,"1739-07-13","M","G000235",,404597,3628,"Henry Glen","Q1281998","kg:/m/091382",13861,,,,,,,,,,
"Samuel Goode","Samuel","Goode",,,,,,,"1756-03-21","M","G000279",,404641,3668,"Samuel Goode","Q2218312","kg:/m/0266lw0",13915,,,,,,,,,,
"Elizur Goodrich","Elizur","Goodrich",,,,,,,"1761-03-24","M","G000294",,404653,3679,"Elizur Goodrich","Q1331367","kg:/m/047kry",13937,,,,,,,,,,
"William Gordon","William","Gordon",,,,,,,"1763-04-12","M","G000318",,404675,3701,"William Gordon (New Hampshire politician)","Q2578998","kg:/m/0260vmy",13965,,,,,,,,,,
"Ray Greene","Ray","Greene",,,,,,,"1765-02-02","M","G000427",,404775,3791,"Ray Greene (politician)","Q371165","kg:/m/0d2q83",,,,,,,,,,,
"Thomas Hartley","Thomas","Hartley",,,,,,,"1748-09-07","M","H000299",,405172,4156,"Thomas Hartley","Q5791785","kg:/m/094h_g",14653,,,,,,,,,,
"Jonathan Nicoll Havens","Jonathan","Havens","Nicoll",,,,,,"1757-06-18","M","H000359",,405228,4204,"Jonathan Nicoll Havens","Q543677","kg:/m/0cwd51",14723,,,,,,,,,,
"James Henderson Imlay","James","Imlay","Henderson",,,,,,"1764-11-26","M","I000011",,405873,4800,"James Henderson Imlay","Q1680547","kg:/m/02619hd",15630,,,,,,,,,,
"James Jones","James","Jones",,,,,,,,"M","J000227",,412060,5038,"James Jones (Georgia)","Q613651","kg:/m/0h69vf",15979,,,,,,,,,,
"John Wilkes Kittera","John","Kittera","Wilkes",,,,,,,"M","K000253",,406412,5310,"John W. Kittera","Q6262359","kg:/m/093cqs",16393,,,,,,,,,,
"Henry Lee","Henry","Lee",,,,,,,"1756-01-29","M","L000195",,406698,5559,"Henry Lee III","Q450175","kg:/m/023ypm",16838,,,,,,,,,,
"James Linn","James","Linn",,,,,,,,"M","L000336",,406829,5687,"James Linn","Q177100","kg:/m/0262ldg",17010,,,,,,,,,,
"Samuel Livermore","Samuel","Livermore",,,,,,,"1732-05-14","M","L000364",,406856,5713,"Samuel Livermore","Q450568","kg:/m/038l9k",17047,,,,,,,,,,
"Samuel Lyman","Samuel","Lyman",,,,,,,"1749-01-25","M","L000528",,407012,5850,"Samuel Lyman","Q2218595","kg:/m/0bz0b0",17252,,,,,,,,,,
"John Marshall","John","Marshall",,,,,,,"1755-09-24","M","M000157",,407179,6003,"John Marshall","Q310829","kg:/m/015rgm",17518,,,,,,,,,,
